Sequence_ID	Predicted_Label
PA0173-C.g564	B
PA0173-C.g572	B
PA0173-C.g582	A
PA0173-C.g789	C
PA0173-C.g647	B
PA0173-C.g657	B
PA0173-C.g591	A
PA0173-C.g672	C
PA0173-C.g681	B
PA0173-C.g467	C
PA0173-C.g686	B
PA0173-C.g694	B
PA0173-C.g700	B
PA0173-C.g706	B
PA0173-C.g711	B
PA0173-C.g771	B
PA0173-C.g721	B
PA0173-C.g725	B
PA0173-C.g734	B
PA0173-C.g730	B
PA0173-C.g749	B
PA0173-C.g754	B
PA0173-C.g759	C
PA0173-C.g761	B
PA0173-C.g760	B
PA0173-C.g777	B
PA0173-C.g772	B
PA0173-C.g773	B
PA0173-C.g778	B
PA0173-C.g781	B
PA0173-C.g787	B
PA0173-C.g52	C
PA0173-C.g44	C
PA0173-C.g55	B
PA0173-C.g66	B
PA0176-C.g719	B
PA0176-C.g500	C
PA0176-C.g744	A
PA0176-C.g804	A
PA0176-C.g24	C
PA0176-C.g46	A
PA0176-C.g67	A
PA0176-C.g87	B
PA0176-C.g696	A
PA0176-C.g128	A
PA0176-C.g149	B
PA0176-C.g193	C
PA0176-C.g287	B
PA0176-C.g296	A
PA0176-C.g336	B
PA0176-C.g386	B
PA0176-C.g375	B
PA0176-C.g415	B
PA0176-C.g445	A
PA0176-C.g458	B
PA0176-C.g213	B
PA0176-C.g182	B
PA0176-C.g487	B
PA0176-C.g513	E
PA0176-C.g499	B
PA0176-C.g529	B
PA0176-C.g537	C
PA0176-C.g548	B
PA0176-C.g559	B
PA0176-C.g627	B
PA0176-C.g590	B
PA0176-C.g635	C
PA0176-C.g606	B
PA0176-C.g599	B
PA0176-C.g614	B
PA0176-C.g661	B
PA0176-C.g656	B
PA0176-C.g676	B
PA0176-C.g667	B
PA0176-C.g682	B
PA0176-C.g690	B
PA0176-C.g693	B
PA0176-C.g701	C
PA0176-C.g704	B
PA0176-C.g709	B
PA0176-C.g711	B
PA0176-C.g712	B
PA0176-C.g249	B
PA0176-C.g713	B
PA0176-C.g716	B
PA0176-C.g718	B
PA0176-C.g717	C
PA0176-C.g721	B
PA0176-C.g773	A
PA0176-C.g788	B
PA0176-C.g402	A
PA0176-C.g15	B
PA0176-C.g17	B
PA0176-C.g40	B
PA0176-C.g44	B
PA0176-C.g43	B
PA0176-C.g16	B
PA0180-C.g460	C
PA0180-C.g542	A
PA0180-C.g646	A
PV0099-C.g59	B
PV0099-C.g63	B
PV0099-C.g64	B
PV0099-C.g68	B
PV0099-C.g69	B
PV0099-C.g70	A
PV0099-C.g72	B
PV0099-C.g73	A
PV0099-C.g74	C
PV0099-C.g75	B
PV0099-C.g78	A
PV0099-C.g79	C
PV0099-C.g81	B
PV0099-C.g80	B
PV0099-C.g82	B
PV0099-C.g83	A
PV0099-C.g91	C
PV0099-C.g93	B
PV0099-C.g95	B
PV0099-C.g94	C
PV0099-C.g96	B
PV0099-C.g97	C
PV0099-C.g99	B
PV0099-C.g100	C
PV0099-C.g103	C
PV0099-C.g101	B
PV0099-C.g102	B
PV0099-C.g105	B
PV0099-C.g106	B
PV0099-C.g112	B
PV0099-C.g118	C
PV0099-C.g148	B
PV0099-C.g153	C
PV0099-C.g163	B
PV0112-C.g5	A
PV0112-C.g6	A
PV0112-C.g7	A
PV0112-C.g8	C
PV0112-C.g10	A
PV0112-C.g11	A
PV0112-C.g13	B
PV0112-C.g15	B
PV0112-C.g14	B
PV0112-C.g17	B
PV0112-C.g18	B
PV0112-C.g19	A
PV0112-C.g22	C
PV0112-C.g24	B
PV0112-C.g25	B
PV0112-C.g26	B
PV0112-C.g28	A
PV0112-C.g27	B
PV0112-C.g29	B
PV0112-C.g30	B
PV0112-C.g31	A
PV0112-C.g37	B
PV0112-C.g38	B
PV0112-C.g39	B
PV0112-C.g41	A
PV0112-C.g40	B
PV0112-C.g42	C
PV0112-C.g43	B
PV0112-C.g44	C
PV0112-C.g45	A
PV0112-C.g48	C
PV0112-C.g50	B
PV0112-C.g51	B
PV0112-C.g54	A
PV0112-C.g58	B
PV0112-C.g55	B
PV0112-C.g61	B
PV0112-C.g64	C
PV0112-C.g65	B
PV0112-C.g69	B
PV0112-C.g73	B
PV0112-C.g77	C
PV0112-C.g82	C
PV0112-C.g85	A
PV0112-C.g90	E
PV0112-C.g93	A
PV0112-C.g95	E
PV0112-C.g97	B
PV0112-C.g103	B
PV0112-C.g105	B
PV0112-C.g117	B
PV0115-C.g2	C
PV0115-C.g3	E
PV0115-C.g5	A
PV0115-C.g6	A
PV0115-C.g7	A
PV0115-C.g8	A
PV0115-C.g9	B
PV0115-C.g10	A
PV0115-C.g12	B
PV0115-C.g13	A
PV0115-C.g14	B
PV0115-C.g15	B
PV0115-C.g16	B
PV0115-C.g17	B
PV0115-C.g18	C
PC0083-C.g387	A
PC0083-C.g14	A
PC0083-C.g28	B
PC0083-C.g41	B
PC0083-C.g148	E
PC0083-C.g86	B
PC0083-C.g129	B
PC0083-C.g141	A
PC0083-C.g174	A
PC0083-C.g187	A
PC0083-C.g255	C
PC0083-C.g216	C
PC0083-C.g227	A
PC0083-C.g234	B
PC0083-C.g253	B
PC0083-C.g278	B
PC0083-C.g293	B
PC0083-C.g301	B
PC0083-C.g312	B
PC0083-C.g261	C
PC0083-C.g313	C
PC0083-C.g314	C
PC0083-C.g287	B
PC0083-C.g318	B
PC0083-C.g116	B
PC0083-C.g319	C
PC0083-C.g320	A
PC0083-C.g321	C
PC0083-C.g254	C
PC0083-C.g322	B
PC0083-C.g325	B
PC0083-C.g326	B
PC0083-C.g329	C
PC0083-C.g333	B
PC0083-C.g340	C
PC0083-C.g341	B
PC0083-C.g357	A
PC0083-C.g271	A
PC0083-C.g384	B
PC0083-C.g115	B
PC0083-C.g268	A
PC0085-C.g1279	A
PC0085-C.g92	B
PC0085-C.g459	B
PC0085-C.g514	B
PC0085-C.g556	B
PC0085-C.g597	A
PC0085-C.g1371	B
PC0085-C.g654	B
PC0085-C.g673	A
PC0085-C.g893	A
PC0085-C.g755	C
PC0085-C.g773	A
PC0085-C.g789	A
PC0085-C.g805	B
PC0085-C.g878	A
PC0085-C.g1320	A
PC0085-C.g831	A
PC0085-C.g844	B
PC0085-C.g857	B
PC0085-C.g975	A
PC0085-C.g926	B
PC0085-C.g957	B
PC0085-C.g1025	B
PC0085-C.g1039	B
PC0085-C.g1097	B
PC0085-C.g1114	B
PC0085-C.g1640	B
PC0085-C.g194	A
PC0085-C.g1210	B
PC0085-C.g533	B
PC0085-C.g1291	B
PC0085-C.g1184	B
PC0085-C.g1380	C
PC0085-C.g1358	B
PC0085-C.g1406	B
PC0085-C.g1447	B
PC0085-C.g1458	B
PC0085-C.g1521	B
PC0085-C.g1549	B
PC0085-C.g1511	A
PC0085-C.g1560	B
PC0085-C.g1570	B
PC0085-C.g1578	B
PC0085-C.g1589	B
PC0085-C.g1610	C
PC0085-C.g1619	B
PC0085-C.g1747	B
PC0085-C.g690	C
PC0085-C.g1679	B
PC0085-C.g1332	B
PC0085-C.g1723	C
PC0085-C.g1729	B
PC0085-C.g1407	B
PC0085-C.g1700	E
PC0085-C.g1736	B
PC0085-C.g1745	B
PC0085-C.g10	C
PC0085-C.g1435	B
PC0085-C.g38	B
PV0169-C.g15	C
PV0169-C.g17	C
PV0169-C.g21	A
PV0182-C.g1	A
PV0182-C.g6	E
PV0182-C.g7	B
PV0182-C.g11	B
PV0182-C.g12	A
PV0182-C.g13	A
PV0182-C.g17	B
PV0182-C.g18	B
PV0182-C.g19	B
PV0182-C.g20	B
PV0182-C.g22	B
PV0182-C.g24	B
PV0182-C.g23	A
PV0182-C.g25	A
PV0182-C.g27	B
PV0182-C.g29	A
PV0182-C.g32	C
PV0182-C.g31	C
PV0182-C.g33	B
PV0182-C.g34	A
PV0182-C.g35	B
PV0182-C.g36	B
PV0182-C.g37	B
PV0182-C.g38	B
PV0182-C.g39	B
PV0182-C.g40	B
PV0182-C.g43	B
PV0182-C.g42	B
PV0182-C.g41	A
PV0182-C.g53	B
PV0182-C.g57	B
PV0182-C.g58	A
PV0182-C.g63	B
PV0182-C.g62	A
PV0182-C.g66	B
PV0182-C.g65	C
PV0182-C.g69	A
PV0182-C.g72	B
PV0182-C.g76	A
PV0182-C.g77	C
PV0182-C.g80	C
PV0182-C.g81	B
PV0182-C.g84	C
PV0182-C.g88	C
PV0182-C.g91	B
PV0182-C.g100	A
PV0182-C.g110	B
PV0184-C.g2	B
PV0184-C.g3	A
PV0184-C.g4	A
PV0184-C.g5	A
PV0184-C.g6	B
PV0184-C.g7	E
PV0184-C.g8	B
PV0184-C.g10	C
PV0184-C.g11	A
PV0184-C.g13	B
PV0187-C.g1	A
PV0187-C.g2	C
PV0187-C.g3	B
PV0187-C.g4	A
PV0187-C.g5	C
PV0187-C.g6	B
PV0187-C.g7	B
PV0187-C.g9	B
PV0187-C.g10	B
PV0188-C.g1	A
PV0188-C.g4	B
PV0188-C.g6	B
PV0188-C.g7	B
PV0188-C.g8	A
PV0188-C.g9	A
PV0188-C.g10	C
PV0188-C.g11	B
PV0188-C.g12	B
PV0188-C.g13	A
PV0188-C.g15	A
PV0188-C.g17	B
PV0188-C.g18	C
PV0188-C.g23	B
PV0188-C.g24	C
PV0188-C.g25	A
PV0188-C.g26	B
PV0188-C.g28	A
PV0188-C.g27	A
PV0188-C.g31	B
PV0188-C.g33	B
PV0188-C.g34	B
PV0188-C.g39	B
PV0188-C.g50	B
PV0188-C.g53	B
PV0188-C.g52	A
PV0188-C.g54	A
PV0188-C.g55	A
PV0188-C.g56	B
PV0188-C.g57	B
PV0188-C.g62	B
PD0590-C.g908	A
PD0590-C.g36	A
PD0590-C.g121	A
PD0590-C.g19	A
PD0590-C.g169	B
PD0590-C.g187	B
PD0590-C.g108	B
PD0590-C.g627	B
PD0590-C.g277	B
PD0590-C.g339	C
PD0590-C.g290	C
PD0590-C.g154	A
PD0590-C.g325	E
PD0590-C.g357	B
PD0590-C.g401	B
PD0590-C.g222	E
PD0590-C.g412	B
PD0590-C.g372	A
PD0590-C.g441	A
PD0590-C.g235	A
PD0590-C.g453	A
PD0590-C.g465	B
PD0590-C.g857	C
PD0590-C.g531	B
PD0590-C.g810	B
PD0590-C.g600	B
PD0590-C.g637	A
PD0590-C.g652	B
PD0590-C.g660	B
PD0590-C.g668	B
PD0590-C.g702	B
PD0590-C.g719	B
PD0590-C.g727	B
PD0590-C.g682	B
PD0590-C.g732	B
PD0590-C.g751	B
PD0590-C.g762	B
PD0590-C.g784	B
PD0590-C.g780	B
PD0590-C.g797	B
PD0590-C.g821	B
PD0590-C.g835	B
PD0590-C.g13	B
PD0590-C.g842	B
PD0590-C.g868	B
PD0590-C.g873	B
PD0590-C.g5	C
PD0590-C.g18	C
PD0590-C.g20	C
PD0590-C.g21	C
PD0590-C.g47	B
PD0626-C.g573	A
PD0626-C.g750	B
PD0626-C.g85	B
PD0626-C.g39	B
PD0626-C.g990	A
PD0626-C.g214	A
PD0626-C.g195	A
PD0626-C.g1176	B
PD0626-C.g288	B
PD0626-C.g392	B
PD0626-C.g181	B
PD0626-C.g1228	A
PD0626-C.g490	C
PD0626-C.g127	C
PD0626-C.g160	B
PD0626-C.g589	B
PD0626-C.g461	C
PD0626-C.g885	B
PD0626-C.g410	B
PD0626-C.g533	B
PD0626-C.g1078	C
PD0626-C.g569	B
PD0626-C.g197	A
PD0626-C.g791	B
PD0626-C.g884	B
PD0626-C.g1080	B
PD0626-C.g833	B
PD0626-C.g449	C
PD0626-C.g551	B
PD0626-C.g355	B
PD0626-C.g17	A
PD0626-C.g820	B
PD0626-C.g1229	A
PD0626-C.g511	B
PD0626-C.g227	B
PD0626-C.g1022	A
PD0626-C.g142	B
PD0626-C.g333	C
PD0632-C.g463	A
PD0632-C.g725	B
PD0632-C.g750	B
PD0632-C.g20	E
PD0632-C.g185	A
PD0632-C.g78	B
PD0632-C.g100	C
PD0632-C.g184	A
PD0632-C.g117	B
PD0632-C.g168	B
PD0632-C.g133	B
SenT232.08.g226	B
SenT232.08.g254	B
SenT232.08.g265	B
SenT232.08.g274	B
SenT232.08.g288	B
SenT232.08.g306	B
SenT232.08.g281	C
SenT232.08.g315	B
SenT232.08.g338	C
SenT232.08.g334	C
SenT232.08.g342	C
SenT232.08.g296	B
SenT232.08.g347	B
SenT232.08.g349	B
SenT232.08.g325	B
SenT232.08.g352	C
SenT232.08.g357	B
SenT232.08.g354	B
SenT232.08.g361	B
SenT232.08.g362	B
SenT232.08.g364	B
SenT232.08.g240	C
SenT232.08.g360	B
SenT232.08.g366	B
SenT232.08.g365	B
SenT232.08.g377	B
SenT232.08.g380	B
SenT232.08.g383	B
SenT232.08.g401	B
SenT233.08.g1006	E
SenT233.08.g1238	B
SenT233.08.g135	B
SenT233.08.g646	B
SenT233.08.g672	B
SenT233.08.g2019	B
SenT233.08.g744	C
SenT233.08.g773	B
SenT233.08.g801	C
SenT233.08.g848	B
SenT233.08.g868	B
SenT233.08.g885	B
SenT233.08.g906	B
SenT233.08.g952	C
SenT233.08.g1030	B
SenT233.08.g1088	B
SenT233.08.g2201	A
SenT233.08.g2357	B
SenT233.08.g723	C
SenT233.08.g1647	B
SenT233.08.g1303	B
SenT233.08.g699	C
SenT233.08.g828	B
SenT233.08.g1341	C
SenT233.08.g417	A
SenT233.08.g1169	B
SenT233.08.g1413	B
SenT233.08.g1048	B
SenT233.08.g1524	C
SenT233.08.g777	A
SenT233.08.g1069	B
SenT233.08.g1781	C
SenT233.08.g1209	B
SenT233.08.g1860	A
SenT233.08.g1898	B
SenT233.08.g1440	B
SenT233.08.g1464	B
SenT233.08.g1969	A
SenT233.08.g974	B
SenT233.08.g1836	B
SenT233.08.g1275	A
SenT233.08.g1379	B
SenT233.08.g1147	B
SenT233.08.g1648	B
SenT235.08.g556	A
SenT235.08.g178	A
SenT235.08.g445	A
SenT235.08.g731	A
SenT235.08.g44	B
SenT235.08.g94	E
SenT235.08.g108	B
SenT235.08.g144	B
SenT235.08.g707	B
SenT235.08.g293	B
SenT235.08.g224	E
SenT235.08.g271	B
SenT235.08.g628	B
SenT235.08.g283	C
SenT235.08.g305	B
SenT235.08.g315	C
SenT235.08.g156	B
SenT235.08.g329	C
SenT235.08.g316	B
SenT235.08.g342	B
SenT235.08.g397	B
SenT235.08.g427	B
SenT235.08.g407	B
SenT235.08.g418	C
