Sequence_ID	Predicted_Label
PF0341-C.g450	B
PF0341-C.g451	B
PF0341-C.g455	B
PF0341-C.g456	B
PF0341-C.g468	B
PF0341-C.g466	B
PF0341-C.g467	B
PF0341-C.g343	B
PF0341-C.g506	B
PF0341-C.g379	C
PF0341-C.g511	B
PF0341-C.g242	A
PF0341-C.g275	B
PF0341-C.g386	B
PF0344-C.g272	A
PF0344-C.g353	A
PF0344-C.g412	C
PF0344-C.g431	A
PF0344-C.g452	A
PF0344-C.g368	A
PF0344-C.g46	A
PF0344-C.g59	A
PF0344-C.g75	B
PF0344-C.g101	A
PF0344-C.g112	A
PF0344-C.g87	A
PF0344-C.g123	B
PF0344-C.g159	B
PF0344-C.g15	B
PF0344-C.g142	E
PF0344-C.g198	B
PF0344-C.g250	B
PF0344-C.g238	A
PF0344-C.g387	A
PF0344-C.g281	B
PF0344-C.g291	B
PF0344-C.g188	B
PF0344-C.g302	B
PF0344-C.g174	B
PF0344-C.g430	C
PF0344-C.g328	C
PF0344-C.g340	B
PF0344-C.g312	B
PF0344-C.g333	B
PF0344-C.g346	B
PF0344-C.g270	B
PF0344-C.g354	B
PF0344-C.g352	B
PF0344-C.g355	B
PF0344-C.g360	B
PF0344-C.g361	C
PF0344-C.g362	B
PF0344-C.g363	B
PF0344-C.g364	B
PF0344-C.g373	C
PF0344-C.g376	B
PF0344-C.g377	B
PF0344-C.g385	B
PF0344-C.g389	B
PF0344-C.g406	B
PF0344-C.g407	E
PF0344-C.g258	B
PF0344-C.g419	C
PF0344-C.g445	A
PF0344-C.g446	C
PF0344-C.g210	C
PF0344-C.g318	B
PF0344-C.g418	B
PF0344-C.g467	B
PF0344-C.g473	B
PF0345-C.g4428	A
PF0345-C.g4488	A
PF0345-C.g4497	B
PF0345-C.g4503	A
PF0345-C.g4528	A
PF0345-C.g4676	B
PF0345-C.g4694	A
PF0345-C.g4522	A
PF0345-C.g4705	A
PF0345-C.g4709	A
PF0345-C.g4733	B
PF0345-C.g4872	A
PF0345-C.g4738	B
PF0345-C.g4879	E
PF0345-C.g4889	C
PF0345-C.g4895	A
PF0345-C.g4903	A
PF0345-C.g4910	B
PF0345-C.g4929	B
PF0345-C.g5061	B
PF0345-C.g5079	C
PF0345-C.g5070	B
PF0345-C.g4663	C
PF0345-C.g32	B
PF0345-C.g46	B
PF0345-C.g21	C
PF0345-C.g4285	C
PF0345-C.g194	C
PF0345-C.g235	C
PF0345-C.g65	B
QC0186-C.g1144	B
QC0186-C.g936	B
QC0186-C.g1148	B
QC0186-C.g1152	B
QC0186-C.g1151	B
QC0186-C.g869	A
QC0186-C.g1085	B
QC0186-C.g16	A
QC0186-C.g17	B
QC0186-C.g29	B
QC0186-C.g33	C
QC0186-C.g739	A
QC0186-C.g665	A
QC0186-C.g1067	B
QC0186-C.g88	B
QC0186-C.g113	C
QC0186-C.g156	C
QC0186-C.g171	B
QC0186-C.g666	B
QC0187-C.g165	A
QC0187-C.g661	A
QC0187-C.g26	B
QC0187-C.g325	A
QC0187-C.g145	A
QC0187-C.g183	A
QC0187-C.g237	A
QC0187-C.g253	B
QC0187-C.g269	B
QC0187-C.g301	A
QC0187-C.g312	B
QC0187-C.g97	A
QC0187-C.g123	C
QC0187-C.g357	E
QC0187-C.g440	B
QC0187-C.g470	B
QC0187-C.g482	A
QC0187-C.g496	C
QC0187-C.g529	B
QC0187-C.g559	B
QC0187-C.g574	B
QC0187-C.g867	B
QC0187-C.g411	B
QC0187-C.g845	B
QC0187-C.g587	B
QC0187-C.g597	B
QC0187-C.g426	C
QC0187-C.g621	C
QC0187-C.g671	C
QC0187-C.g681	B
QC0187-C.g695	B
QC0187-C.g719	B
QC0187-C.g839	B
QC0187-C.g744	B
QC0187-C.g752	B
QC0187-C.g531	B
QC0187-C.g769	B
QC0187-C.g784	B
QC0187-C.g790	B
